AgentID,Interval 1,Interval 2,Interval 3,Interval 4,Interval 5,Interval 6,Interval 7,Interval 8,Interval 9,Interval 10,Interval 11,Interval 12,Interval 13,Interval 14,Interval 15,Interval 16,Interval 17,Interval 18,Interval 19,Interval 20,Interval 21,Interval 22,Interval 23,Interval 24,Interval 25,Interval 26,Interval 27,Interval 28,Interval 29,Interval 30,Interval 31,Interval 32,Interval 33,Interval 34,Interval 35,Interval 36,Interval 37,Interval 38,Interval 39,Interval 40,Interval 41,Interval 42,Interval 43,Interval 44,Interval 45,Interval 46,Interval 47,Interval 48,Interval 49,Interval 50,Interval 51,Interval 52,Interval 53,Interval 54,Interval 55,Interval 56,Interval 57,Interval 58,Interval 59,Interval 60,Interval 61,Interval 62,Interval 63,Interval 64,Interval 65,Interval 66,Interval 67,Interval 68,Interval 69,Interval 70,Interval 71,Interval 72,Interval 73,Interval 74,Interval 75,Interval 76,Interval 77,Interval 78,Interval 79,Interval 80,Interval 81,Interval 82,Interval 83,Interval 84,Interval 85,Interval 86,Interval 87,Interval 88,Interval 89,Interval 90,Interval 91,Interval 92,Interval 93,Interval 94,Interval 95,Interval 96,Interval 97,Interval 98,Interval 99,Interval 100,Interval 101,Interval 102,Interval 103,Interval 104,Interval 105,Interval 106,Interval 107,Interval 108,Interval 109,Interval 110,Interval 111,Interval 112,Interval 113,Interval 114,Interval 115,Interval 116
11,2.75,2.625,2.5,2.4375,2.4,2.375,2.357143,2.34375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2.75,2.625,2.5,2.4375,2.4,2.375,2.357143,2.34375,2.333334,2.325,2.318182,2.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.475,2.443182,2.40625,2.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2.5,2.375,2.25,2.1875,2.15,2.125,2.107143,2.09375,2.083334,2.075,2.068182,2.0625,2.057692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.272727,2.291667,2.269231,2.25,2.233333,2.21875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2.5,2.375,2.25,2.1875,2.15,2.083333,2.107143,2.109375,2.125,2.1125,2.079545,2.072917,2.067308,2.0625,2.058333,2.054688,2.051471,2.048611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.46875,2.416667,2.375,2.340909,2.3125,2.288461,2.267857,2.25,2.234375,2.220588,2.208333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2.75,2.625,2.5,2.4375,2.4,2.375,2.357143,2.34375,2.333334,2.325,2.318182,2.3125,2.307692,2.303571,2.3,2.296875,2.294118,2.291667,2.289474,2.2875,2.285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2.5,2.375,2.25,2.25,2.225,2.1875,2.160714,2.140625,2.125,2.1125,2.102273,2.09375,2.086538,2.080357,2.075,2.070313,2.066176,2.0625,2.059211,2.05625,2.053572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2.5,2.375,2.25,2.25,2.225,2.1875,2.232143,2.234375,2.208333,2.1875,2.170454,2.15625,2.144231,2.133929,2.125,2.117188,2.110294,2.104167,2.098684,2.09375,2.089286,2.085227,2.081522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2.75,2.625,2.5,2.4375,2.4,2.375,2.357143,2.359375,2.347223,2.3375,2.340909,2.354167,2.365385,2.366072,2.375,2.367188,2.367647,2.375,2.368421,2.3625,2.357143,2.352273,2.347826,2.34375,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2.5,2.375,2.25,2.1875,2.1,2.083333,2.071428,2.0625,2.055555,2.1,2.113636,2.104167,2.096154,2.107143,2.133333,2.15625,2.161764,2.152778,2.144737,2.1375,2.130952,2.125,2.119565,2.114583,2.11,2.105769,2.101852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2,2,2,2,2,2,2,2,2,1.95,1.909091,1.875,1.846154,1.821429,1.8,1.78125,1.764706,1.75,1.736842,1.725,1.714286,1.704545,1.695652,1.6875,1.68,1.673077,1.666667,1.660714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2.75,2.625,2.5,2.4375,2.4,2.375,2.357143,2.34375,2.333334,2.325,2.318182,2.3125,2.307692,2.303571,2.3,2.296875,2.294118,2.291667,2.289474,2.2875,2.285714,2.284091,2.282609,2.28125,2.28,2.278846,2.277778,2.276786,2.275862,2.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.461539,2.446429,2.45,2.453125,2.448529,2.4375,2.414474,2.4,2.392857,2.397727,2.402174,2.385417,2.37,2.355769,2.342592,2.330357,2.318965,2.308333,2.298387,2.289063,2.280303,2.272059,2.264286,2.256944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2,2,2,2,2,2,2,2,2,1.95,1.909091,1.875,1.846154,1.821429,1.8,1.78125,1.764706,1.75,1.736842,1.725,1.714286,1.704545,1.695652,1.6875,1.68,1.673077,1.666667,1.660714,1.655172,1.65,1.645161,1.640625,1.636364,1.632353,1.628572,1.625,1.621622,1.618421,1.615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.5,2.375,2.25,2.1875,2.15,2.125,2.107143,2.09375,2.083334,2.125,2.159091,2.1875,2.211539,2.223215,2.225,2.210938,2.19853,2.1875,2.177632,2.16875,2.160715,2.153409,2.146739,2.140625,2.135,2.129808,2.125,2.120536,2.116379,2.1125,2.108871,2.105469,2.102273,2.099265,2.096429,2.09375,2.091216,2.088816,2.086539,2.084375,2.082317,2.080357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2.75,2.625,2.5,2.4375,2.4,2.375,2.357143,2.34375,2.333334,2.325,2.318182,2.3125,2.307692,2.303571,2.3,2.296875,2.294118,2.291667,2.289474,2.2875,2.285714,2.284091,2.282609,2.28125,2.28,2.278846,2.277778,2.276786,2.275862,2.275,2.274194,2.273438,2.272727,2.272059,2.271428,2.270833,2.27027,2.269736,2.26923,2.26875,2.268292,2.267857,2.267442,2.267045,2.266667,2.266304,2.265958,2.265625,2.265306,2.265,2.264706,2.264423,2.264151,2.263889,2.263636,2.263393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3,2.75,2.583333,2.625,2.65,2.666667,2.678571,2.671875,2.625,2.6125,2.602273,2.59375,2.586538,2.580357,2.591667,2.601563,2.602941,2.597222,2.578948,2.5625,2.547619,2.545455,2.538043,2.526042,2.515,2.504808,2.49537,2.486607,2.478448,2.470833,2.46371,2.457031,2.450758,2.444853,2.439286,2.434028,2.429054,2.424342,2.419872,2.415625,2.411586,2.407738,2.40407,2.400568,2.397222,2.394022,2.390958,2.388021,2.385204,2.3825,2.379902,2.377404,2.375,2.372685,2.370455,2.368304,2.366228,2.364224,2.362288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.472222,2.45,2.431818,2.416667,2.403846,2.410714,2.433333,2.421875,2.419117,2.423611,2.414474,2.40625,2.398809,2.414773,2.418478,2.411458,2.405,2.399038,2.393518,2.388392,2.38362,2.379166,2.375,2.371094,2.367424,2.36397,2.360714,2.357639,2.354729,2.351973,2.349359,2.346875,2.344512,2.342262,2.340116,2.338068,2.336111,2.334239,2.332447,2.330729,2.329082,2.3275,2.325981,2.324519,2.323113,2.321759,2.320455,2.325893,2.333333,2.340518,2.347458,2.354167,2.356558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2.75,2.625,2.5,2.4375,2.4,2.375,2.357143,2.34375,2.333334,2.325,2.318182,2.3125,2.307692,2.303571,2.3,2.296875,2.294118,2.291667,2.289474,2.3,2.321429,2.340909,2.347826,2.34375,2.34,2.336539,2.333334,2.330358,2.327587,2.325,2.322581,2.320313,2.318182,2.316177,2.314286,2.3125,2.310811,2.309211,2.307692,2.30625,2.304878,2.303571,2.302326,2.301136,2.3,2.298913,2.297873,2.296875,2.295918,2.295,2.294118,2.293269,2.292453,2.291667,2.290909,2.290179,2.289474,2.288793,2.288136,2.2875,2.286885,2.28629,2.285714,2.285156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2.75,2.625,2.5,2.4375,2.45,2.5,2.535714,2.53125,2.5,2.475,2.454546,2.4375,2.423077,2.428571,2.45,2.4375,2.426471,2.430556,2.460526,2.4875,2.511905,2.534091,2.532609,2.520833,2.51,2.5,2.490741,2.491072,2.491379,2.491667,2.491936,2.496094,2.496212,2.503677,2.510714,2.517361,2.516892,2.513158,2.50641,2.5,2.493902,2.488095,2.482558,2.477272,2.472222,2.467391,2.462765,2.458333,2.454081,2.45,2.446078,2.442307,2.438679,2.435184,2.431818,2.428571,2.425438,2.422413,2.419491,2.416666,2.413934,2.41129,2.40873,2.40625,2.403846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2.5,2.375,2.25,2.1875,2.15,2.125,2.107143,2.09375,2.083334,2.075,2.068182,2.0625,2.096154,2.107143,2.1,2.09375,2.088235,2.083333,2.078947,2.075,2.071429,2.068182,2.065217,2.0625,2.06,2.057692,2.064815,2.0625,2.060345,2.058333,2.056451,2.054687,2.05303,2.05147,2.05,2.048611,2.047297,2.046052,2.044872,2.04375,2.042683,2.041667,2.040698,2.039773,2.038889,2.038044,2.037234,2.036458,2.035715,2.035,2.034314,2.033654,2.03302,2.032408,2.031819,2.031251,2.030703,2.030173,2.029662,2.029168,2.02869,2.028227,2.031747,2.035157,2.038462,2.041667,2.044777,2.044118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,2.875,2.75,2.6875,2.65,2.625,2.678571,2.71875,2.75,2.725,2.715909,2.71875,2.701923,2.6875,2.675,2.664063,2.654412,2.645833,2.638158,2.63125,2.625,2.619318,2.603261,2.598958,2.595,2.591346,2.587963,2.584821,2.581897,2.579167,2.576613,2.574219,2.57197,2.569853,2.567857,2.565972,2.577703,2.582237,2.580128,2.578125,2.57622,2.574405,2.572675,2.571023,2.569445,2.567935,2.566489,2.565104,2.563776,2.5625,2.561275,2.560096,2.558962,2.557871,2.565909,2.573661,2.581141,2.588362,2.59534,2.602084,2.608607,2.610888,2.60516,2.59961,2.594232,2.589016,2.583956,2.579045,2.577899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3,2.875,2.75,2.6875,2.65,2.625,2.642857,2.640625,2.625,2.6125,2.602273,2.59375,2.586538,2.580357,2.575,2.601563,2.610294,2.604167,2.598685,2.6,2.607143,2.625,2.630435,2.625,2.62,2.615385,2.611112,2.607143,2.603449,2.600001,2.596775,2.59375,2.590909,2.588236,2.585715,2.583333,2.581081,2.578948,2.576923,2.575,2.573171,2.571429,2.569767,2.568182,2.566666,2.565217,2.563829,2.5625,2.561224,2.56,2.558823,2.557692,2.556603,2.555555,2.554545,2.553571,2.552631,2.551724,2.550847,2.55,2.54918,2.548387,2.547619,2.546875,2.546153,2.545454,2.544776,2.544117,2.543478,2.542857,2.538732,2.534722,2.534246,2.533783,2.533333,2.532894,2.532467,2.535256,2.537974,2.543749,2.549382,2.54878,2.54518,2.544642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,2.875,2.75,2.6875,2.65,2.625,2.642857,2.65625,2.666666,2.65,2.636363,2.625,2.615385,2.607143,2.6,2.59375,2.588235,2.583333,2.578948,2.575,2.571429,2.568182,2.565217,2.5625,2.58,2.596153,2.601851,2.598214,2.594827,2.591666,2.588709,2.585937,2.583333,2.580882,2.578571,2.576388,2.574324,2.572368,2.570513,2.56875,2.567073,2.565476,2.563953,2.5625,2.561111,2.559783,2.558511,2.557292,2.556123,2.555,2.553922,2.552885,2.551887,2.550926,2.55,2.549107,2.548245,2.547413,2.54661,2.545833,2.545081,2.544354,2.54365,2.542968,2.542307,2.541666,2.541044,2.540441,2.539855,2.539285,2.538732,2.538194,2.537671,2.537162,2.536666,2.536184,2.535714,2.535256,2.53481,2.534375,2.533951,2.533536,2.533133,2.532738,2.532353,2.53343,2.535919,2.535511,2.537921,2.543056,2.548077,2.550272,2.549731,2.549202,,,,,,,,,,,,,,,,,,,,,,
10,3,2.875,2.75,2.6875,2.675,2.6875,2.660714,2.640625,2.625,2.6125,2.625,2.65625,2.644231,2.633929,2.591667,2.585938,2.588235,2.597222,2.592105,2.5875,2.583333,2.579545,2.576087,2.572917,2.58,2.591346,2.606482,2.602679,2.599138,2.595833,2.592742,2.589844,2.587121,2.584559,2.582143,2.579861,2.577703,2.575658,2.573718,2.571875,2.573171,2.577381,2.575581,2.573864,2.572222,2.570652,2.569149,2.567708,2.566326,2.565,2.563725,2.5625,2.561321,2.560185,2.559091,2.558036,2.557018,2.556034,2.555084,2.554166,2.553278,2.552419,2.551587,2.550781,2.549999,2.549242,2.548507,2.547793,2.547101,2.546428,2.545774,2.545138,2.54452,2.545607,2.548333,2.554276,2.558441,2.560897,2.560126,2.559375,2.558641,2.564024,2.567771,2.56994,2.569117,2.569767,2.571839,2.576704,2.58146,2.586111,2.590659,2.592391,2.591398,2.590425,2.589473,2.588541,2.587629,2.586734,2.585858,2.584999,2.585395,2.587009,2.591019,2.594951,2.598809,2.602594,2.603972,2.603009,2.602064,2.601136,2.600225,2.59933,2.598451,2.597588,2.596739,2.595905
