UniqueID,Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
228,13.08086,61,Female,None,High,Immediate,Low,0.8223684,2.5,2.269231,2.5,27
243,13.41772,35,Male,None,High,Immediate,Low,0.7407407,2.25,2.196429,2.25,26
24,13.71833,34,Female,None,High,Lagging,Medium,0.7215007,2.75,2.428571,2,25
124,14.32502,27,Female,None,High,Immediate,Low,0.7072136,3,2.283333,1.75,27
226,14.85333,62,Female,None,Low,Immediate,Low,0.8237233,2.5,2.166667,2,24
25,15.54574,55,Male,None,High,Lagging,Low,0.8,3,2.703125,2.25,27
238,15.54574,20,Female,None,Low,Immediate,Low,0.6993007,2.5,2.03125,2,25
225,17.41834,68,Male,None,Medium,Immediate,Low,0.8547009,2.75,2.333333,2.25,25
245,20.2416,65,Female,None,High,Immediate,Low,0.8354219,2.75,2.4125,2.25,26
183,21.75409,29,Female,None,Medium,Immediate,Medium,0.7168459,2,1.75,1.75,25
205,25.52785,39,Female,None,High,Immediate,Low,0.7407407,2.75,2.365385,2.25,27
31,25.93519,91,Female,None,High,Immediate,High,1.086957,2,1.663462,1.5,27
201,26.82427,62,Male,None,High,Immediate,Low,0.8264462,2.25,1.981482,2,26
208,28.2238,42,Female,None,Low,Immediate,Medium,0.7639419,2.25,2.071429,2.25,25
239,28.2238,37,Male,None,Low,Immediate,Low,0.7575758,2.75,2.327586,2.5,26
121,28.62331,33,Female,None,High,Lagging,Low,0.7204611,3,2.612069,2.25,27
209,29.02302,64,Male,None,Medium,Immediate,Low,0.8403361,2.75,2.353448,2.5,27
230,29.1804,96,Male,None,Medium,Immediate,High,1.265823,2,1.525862,1.5,24
206,29.82898,91,Female,None,Medium,Immediate,Low,1.086957,2.5,1.858333,2,25
175,31.66074,27,Male,None,Medium,Immediate,Low,0.7042254,2.75,2.296875,2,27
35,32.06374,90,Female,None,Medium,Lagging,Low,1.052632,2.5,2.304688,2,25
65,32.06374,48,Male,None,Low,Lagging,Low,0.7874016,2.75,2.398438,2.25,26
171,32.79072,26,Male,None,High,Lagging,Low,0.6968641,2.75,2.431818,2,25
123,33.18612,34,Female,None,Medium,Lagging,Low,0.7215007,2.75,2.469697,2.25,25
96,33.98385,97,Male,None,High,Immediate,Low,1.282051,2.5,2.227941,2.25,25
256,33.98385,63,Female,None,High,Immediate,Medium,0.8319467,2.25,2.213235,2.25,25
119,34.43407,44,Male,None,High,Lagging,Low,0.7782102,2.75,2.435714,2.25,27
160,34.97512,24,Female,None,High,Lagging,Low,0.7062147,2.75,2.435714,2.25,25
1,35.655,66,Male,None,High,Immediate,Low,0.8403361,2.75,2.423611,2.25,25
122,36.77428,37,Female,None,Low,Lagging,Low,0.7183908,2.75,2.290541,2,24
