Time to Evacuate,Age,Gender,,,,,,,,,,,
32.73273,47,Male,,,,,,,,,,,
35.4751,60,Female,,,,,,,,,,,
36.87601,40,Female,,,,,,,,,,,
37.86214,61,Female,,,,,,,,,,,
38.4447,53,Female,,,,,,,,,,,
39.11213,51,Female,,,,,,,,,,Time to Evacuate,Age
39.32922,51,Female,,,,,,,,,Time to Evacuate,1,
39.64676,50,Male,,,,,,,,,Age,0.406842571,1
39.69246,25,Female,,,,,,,,,,,
40.19582,26,Female,,,,,,,,,,,
40.49332,64,Female,,,,,,,,,,,
40.82736,99,Female,,,,,,,,,,,
41.39431,57,Female,,,,,,,,,,,
41.92334,78,Female,,,,,,,,,,,
41.95653,54,Female,,,,,,,,,,,
42.42429,29,Female,,,,,,,,,,,
42.5501,29,Female,,,,,,,,,,,
42.66923,37,Female,,,,,,,,,,,
43.07027,32,Female,,,,,,,,,,,
43.20686,34,Female,,,,,,,,,,,
43.23481,89,Female,,,,,,,,,,,
43.27337,53,Female,,,,,,,,,,,
44.2222,25,Female,,,,,,,,,,,
44.90478,35,Male,,,,,,,,,,,
45.07177,72,Female,,,,,,,,,,,
45.60648,40,Female,,,,,,,,,,,
45.62318,25,Female,,,,,,,,,,,
45.87251,21,Female,,,,,,,,,,,
46.57221,56,Female,,,,,,,,,,,
46.65334,49,Female,,,,,,,,,,,
47.19107,39,Female,,,,,,,,,,,
47.67163,51,Female,,,,,,,,,,,
47.79154,75,Female,,,,,,,,,,,
48.23711,81,Female,,,,,,,,,,,
49.52131,45,Female,,,,,,,,,,,
50.00785,64,Female,,,,,,,,,,,
50.17408,93,Female,,,,,,,,,,,
50.24306,57,Female,,,,,,,,,,,
50.37659,61,Female,,,,,,,,,,,
50.72876,66,Male,,,,,,,,,,,
50.87555,31,Female,,,,,,,,,,,
51.04771,77,Female,,,,,,,,,,,
51.62667,24,Female,,,,,,,,,,,
51.99284,75,Female,,,,,,,,,,,
52.65875,71,Female,,,,,,,,,,,
52.9304,40,Female,,,,,,,,,,,
53.01288,92,Female,,,,,,,,,,,
53.46163,67,Female,,,,,,,,,,,
53.82937,30,Female,,,,,,,,,,,
54.57796,25,Female,,,,,,,,,,,
54.77446,91,Female,,,,,,,,,,,
55.31485,39,Female,,,,,,,,,,,
55.51057,60,Male,,,,,,,,,,,
55.84851,27,Female,,,,,,,,,,,
55.9482,22,Female,,,,,,,,,,,
56.2116,24,Female,,,,,,,,,,,
56.33207,24,Female,,,,,,,,,,,
56.59644,55,Female,,,,,,,,,,,
56.59644,75,Female,,,,,,,,,,,
56.81679,23,Female,,,,,,,,,,,
57.25368,54,Female,,,,,,,,,,,
57.55519,60,Female,,,,,,,,,,,
57.88425,30,Female,,,,,,,,,,,
58.6664,49,Female,,,,,,,,,,,
58.74842,29,Female,,,,,,,,,,,
58.90806,32,Female,,,,,,,,,,,
59.41013,48,Female,,,,,,,,,,,
59.89945,67,Female,,,,,,,,,,,
59.96539,42,Female,,,,,,,,,,,
60.1552,64,Female,,,,,,,,,,,
60.2003,28,Female,,,,,,,,,,,
60.40987,38,Female,,,,,,,,,,,
60.55329,64,Female,,,,,,,,,,,
61.10242,26,Female,,,,,,,,,,,
61.39149,36,Female,,,,,,,,,,,
61.92384,54,Female,,,,,,,,,,,
61.98806,37,Female,,,,,,,,,,,
62.01705,23,Female,,,,,,,,,,,
62.18538,85,Female,,,,,,,,,,,
62.43829,70,Female,,,,,,,,,,,
62.43829,58,Female,,,,,,,,,,,
62.61149,25,Female,,,,,,,,,,,
63.53452,36,Female,,,,,,,,,,,
63.57373,83,Female,,,,,,,,,,,
63.69255,64,Female,,,,,,,,,,,
63.99226,32,Female,,,,,,,,,,,
64.11839,85,Female,,,,,,,,,,,
64.21899,44,Female,,,,,,,,,,,
64.28867,55,Female,,,,,,,,,,,
64.36867,49,Female,,,,,,,,,,,
64.90945,66,Female,,,,,,,,,,,
65.02619,85,Female,,,,,,,,,,,
65.24921,79,Female,,,,,,,,,,,
65.36579,54,Female,,,,,,,,,,,
65.57418,50,Female,,,,,,,,,,,
65.82339,89,Female,,,,,,,,,,,
66.23582,93,Female,,,,,,,,,,,
66.31363,58,Female,,,,,,,,,,,
66.91356,77,Female,,,,,,,,,,,
67.09659,86,Female,,,,,,,,,,,
67.14133,61,Female,,,,,,,,,,,
67.64398,87,Female,,,,,,,,,,,
67.77729,22,Female,,,,,,,,,,,
68.67632,49,Female,,,,,,,,,,,
68.69363,54,Female,,,,,,,,,,,
68.99428,72,Female,,,,,,,,,,,
69.24326,42,Female,,,,,,,,,,,
69.32649,57,Female,,,,,,,,,,,
69.37685,85,Female,,,,,,,,,,,
69.41148,53,Female,,,,,,,,,,,
69.44048,80,Female,,,,,,,,,,,
69.7617,36,Female,,,,,,,,,,,
69.82909,59,Female,,,,,,,,,,,
69.909,48,Female,,,,,,,,,,,
70.1768,59,Female,,,,,,,,,,,
70.1768,44,Male,,,,,,,,,,,
70.71181,98,Female,,,,,,,,,,,
70.77631,85,Female,,,,,,,,,,,
71.1134,65,Female,,,,,,,,,,,
71.24733,95,Female,,,,,,,,,,,
71.76067,39,Female,,,,,,,,,,,
72.22655,62,Female,,,,,,,,,,,
72.32669,61,Female,,,,,,,,,,,
72.37605,73,Female,,,,,,,,,,,
72.65919,58,Female,,,,,,,,,,,
72.71127,28,Female,,,,,,,,,,,
73.21189,72,Female,,,,,,,,,,,
73.26195,26,Female,,,,,,,,,,,
73.34505,79,Female,,,,,,,,,,,
73.56326,80,Female,,,,,,,,,,,
73.59315,91,Female,,,,,,,,,,,
73.61107,68,Female,,,,,,,,,,,
74.59435,56,Male,,,,,,,,,,,
74.69288,54,Female,,,,,,,,,,,
74.91196,59,Female,,,,,,,,,,,
75.06897,91,Female,,,,,,,,,,,
75.64246,38,Female,,,,,,,,,,,
75.79332,72,Female,,,,,,,,,,,
76.11194,63,Female,,,,,,,,,,,
76.26286,79,Female,,,,,,,,,,,
76.3115,92,Female,,,,,,,,,,,
76.3115,41,Female,,,,,,,,,,,
76.91336,60,Female,,,,,,,,,,,
77.02649,97,Female,,,,,,,,,,,
77.0948,61,Female,,,,,,,,,,,
77.14365,29,Female,,,,,,,,,,,
77.21238,78,Female,,,,,,,,,,,
77.7131,77,Female,,,,,,,,,,,
78.04651,42,Male,,,,,,,,,,,
78.27584,78,Female,,,,,,,,,,,
78.34404,43,Female,,,,,,,,,,,
78.77612,85,Female,,,,,,,,,,,
78.89265,92,Female,,,,,,,,,,,
79.32954,73,Female,,,,,,,,,,,
