Time to Evacuate,Age,Gender
17.57414,20,Female
20.1771,20,Female
20.67788,20,Female
21.02749,20,Female
22.02987,20,Female
22.61077,20,Female
22.77866,20,Female
23.22841,20,Female
24.04743,20,Female
25.1796,20,Female
25.37692,20,Female
25.81436,20,Male
26.27803,20,Female
26.49409,20,Male
26.87687,20,Female
27.21482,20,Female
27.52932,20,Female
27.89389,20,Female
28.31276,20,Female
28.43109,20,Female
29.31471,20,Female
29.83048,20,Female
29.89725,20,Female
30.39754,20,Female
30.67831,20,Female
30.77972,20,Female
31.19658,20,Male
31.47845,20,Female
32.14561,20,Female
32.68017,20,Female
32.92842,20,Female
33.34493,20,Female
33.79693,20,Female
34.27916,20,Female
34.49419,20,Female
35.01268,20,Female
35.44554,20,Female
35.99481,20,Female
36.42953,20,Female
37.54755,20,Female
38.14676,20,Male
38.62853,20,Female
38.8474,20,Female
39.23089,20,Female
39.82938,20,Female
39.9977,20,Female
40.41207,20,Female
40.5981,20,Female
40.5981,20,Female
41.19116,20,Female
41.36586,20,Female
41.77905,20,Female
42.49775,20,Female
42.53313,20,Female
43.0316,20,Female
43.16519,20,Female
43.81541,20,Female
43.96532,20,Female
45.19678,20,Male
45.76298,20,Female
46.37836,20,Female
46.97968,20,Female
50.14595,20,Male
50.74656,20,Female
33.93,,
