UniqueID,Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
304,15.94282,49,Male,None,High,Immediate,Low,0.7936508,2.5,2.28125,2,33
274,19.0351,41,Male,None,Medium,Immediate,Low,0.7604563,2.5,2.223684,2,32
281,20.61352,63,Male,None,Medium,Immediate,Medium,0.8333333,2.25,2.023809,1.75,32
269,22.68664,36,Female,None,High,Immediate,Low,0.7194245,2.5,2.173913,2,32
315,22.68664,21,Male,None,Low,Immediate,Low,0.6734006,2.5,2.173913,2,32
39,22.68664,31,Female,None,High,Lagging,Low,0.7107321,2.75,2.434783,2,32
283,22.68664,67,Female,None,High,Immediate,Low,0.8474576,2.5,2.25,2.25,31
301,22.68664,29,Male,None,High,Immediate,High,0.7194245,2,1.652174,1.5,31
266,24.08368,21,Male,None,Low,Immediate,Low,0.6734006,2.5,2.145833,2.25,30
302,25.16115,63,Male,None,Medium,Immediate,Low,0.8333333,2.5,2.22,2.25,32
253,26.03706,54,Male,None,Low,Immediate,High,0.8097166,2.25,1.798077,1.75,31
254,27.19268,37,Female,None,High,Immediate,Low,0.7183908,2.75,2.296296,2.25,30
1,27.96851,43,Male,None,Low,Lagging,Low,0.7722008,2.75,2.267857,2,30
100,28.17895,42,Male,None,Low,Immediate,Low,0.7662836,2.75,2.348214,2.25,33
284,28.79084,59,Female,None,High,Immediate,Medium,0.8223684,2.5,2.060345,2,28
7,28.79084,37,Male,None,High,Lagging,Low,0.7575758,2.75,2.508621,2.5,32
44,29.45746,88,Male,None,High,Lagging,Low,1.030928,2.75,2.566667,2.25,32
234,29.82886,38,Male,None,High,Immediate,Low,0.7662836,2.75,2.35,2.5,32
38,32.98171,85,Female,None,Medium,Lagging,Low,0.9633911,2.75,2.5,2,31
29,32.98171,57,Female,None,Medium,Lagging,Medium,0.8116883,2.75,2.295455,1.75,32
223,34.38754,45,Female,None,High,Immediate,Low,0.7722008,2.5,2.192857,2.25,33
101,34.38754,52,Male,None,Medium,Immediate,Low,0.7968128,2.75,2.228571,2,28
322,35.6153,69,Male,None,High,Immediate,Medium,0.862069,2.75,1.979167,1.25,27
275,35.6153,97,Male,None,Low,Immediate,Low,1.282051,2.5,2.194444,2,32
68,36.11178,88,Male,None,Low,Immediate,High,1.030928,2.5,2.041667,2,30
226,36.81148,80,Female,None,High,Immediate,Low,0.9372071,2.75,2.236486,2.25,33
307,38.08561,87,Male,WheelChair,Medium,Immediate,High,1.133787,2.25,1.710526,1.5,33
214,38.68824,42,Male,None,Medium,Immediate,Low,0.7662836,2.75,2.301282,2.25,32
21,42.98917,36,Female,None,Medium,Immediate,High,0.7194245,2.25,1.866279,2.25,31
153,42.98917,40,Female,None,Low,Immediate,Low,0.7621951,2.75,2.255814,2.75,31
126,44.35151,28,Female,None,Medium,Immediate,Medium,0.7092199,2.75,2.105556,2.75,30
71,44.35151,46,Male,None,High,Immediate,Low,0.7751938,3,2.616667,3,33
155,45.42532,28,Female,None,Low,Immediate,Low,0.7092199,2.75,2.282609,2.25,32
331,45.42532,52,Male,None,Low,Immediate,Low,0.7968128,2.75,2.429348,1.75,32
82,45.42532,41,Female,None,High,Lagging,Low,0.761035,3,2.5,2.5,32
318,45.42532,55,Female,None,Low,Immediate,Low,0.8,3,2.61413,3,31
46,47.05892,51,Female,None,Medium,Immediate,Low,0.7936508,3,2.340425,2,31
110,47.61147,88,Male,None,Low,Immediate,Low,1.030928,2.75,2.270833,2,33
48,47.61147,70,Male,None,Low,Immediate,Low,0.8695652,2.75,2.286458,2.5,30
209,48.16423,43,Male,None,Low,Immediate,Medium,0.7722008,2,1.786458,1.75,31
159,48.72317,45,Female,None,High,Immediate,Low,0.7722008,3,2.372449,2.75,32
242,48.72317,89,Female,None,Medium,Immediate,Medium,1.02459,2.25,1.928571,1.75,31
249,48.72317,72,Female,None,Medium,Immediate,High,0.8833923,2.5,1.989796,2,32
90,49.36275,60,Male,None,High,Lagging,Low,0.8130081,3,2.675,2.5,30
227,49.55202,45,Female,None,Medium,Immediate,Low,0.7722008,3,2.335,2.75,33
202,50.10054,91,Female,None,Low,Lagging,Low,1.086957,2.75,2.545,2.25,32
127,50.64157,94,Male,None,High,Immediate,Low,1.162791,2.75,2.171569,2,33
150,50.64157,70,Male,None,High,Lagging,Low,0.8695652,3,2.666667,2,31
231,52.60109,71,Female,None,Low,Immediate,Low,0.8741258,2.75,2.221698,2.5,32
186,52.60109,27,Male,None,High,Immediate,Low,0.7042254,2.75,2.25,2.5,29
323,52.60109,96,Male,None,Medium,Immediate,Low,1.265823,2.5,2.14151,2.25,31
23,52.60109,89,Male,None,Low,Immediate,High,1.041667,2.25,1.759434,1.75,29
102,53.86753,35,Male,None,Low,Lagging,Low,0.7407407,2.75,2.375,2,31
129,53.86753,86,Female,None,Medium,Immediate,Low,0.9803922,3,2.226852,2.25,32
224,55.82531,90,Female,None,High,Immediate,Medium,1.052632,2.5,2.058036,2.25,31
77,57.36176,79,Male,None,Low,Lagging,Low,0.9433963,2.75,2.375,2,33
6,57.73066,29,Female,None,Medium,Lagging,Low,0.7168459,3,2.491379,2.5,33
53,57.73066,33,Male,None,Low,Lagging,Low,0.7380074,3,2.577586,2,31
85,58.60677,93,Male,None,High,Lagging,Low,1.149425,3,2.504237,2,31
232,58.60677,29,Female,None,Low,Lagging,Low,0.7168459,2.75,2.512712,2,31
72,59.43271,77,Male,None,Low,Immediate,Low,0.9259259,2.75,2.2125,2.25,31
267,59.98608,22,Female,None,Low,Immediate,Low,0.7042254,3,2.370833,2.25,32
64,62.68234,26,Female,None,High,Lagging,Low,0.7042254,2.75,2.488095,2.5,28
233,62.68234,23,Female,None,Medium,Immediate,Low,0.691085,3,2.523809,2.5,29
309,62.68234,96,Male,WalkingStick,Medium,Immediate,Low,1.489203,2.75,2.111111,2,32
213,62.68234,32,Male,None,Medium,Lagging,Low,0.729927,2.75,2.43254,2.25,33
137,62.68234,28,Male,None,Low,Lagging,Low,0.7117438,2.75,2.551587,2.25,29
145,63.89256,59,Male,None,Medium,Lagging,Low,0.8264462,3,2.777344,2.25,31
2,65.24167,56,Female,None,Medium,Lagging,Medium,0.8064516,2.75,2.542308,2.25,33
238,67.44183,23,Female,None,Medium,Immediate,Medium,0.691085,2.5,2.080882,2,31
292,68.73032,65,Male,None,High,Lagging,Low,0.8333333,2.75,2.677536,2.5,33
27,69.09605,33,Female,None,Low,Lagging,Low,0.7204611,3,2.902174,2.5,33
151,69.62659,80,Female,None,Low,Lagging,Low,0.9372071,3,2.789286,2.5,29
83,72.50829,62,Male,None,Low,Lagging,Low,0.8264462,3,2.688356,3,32
204,72.50829,62,Male,None,Low,Lagging,Low,0.8264462,3,2.582192,3,33
138,72.50829,33,Female,None,Medium,Lagging,Low,0.7204611,2.75,2.150685,2.5,30
4,73.66354,25,Male,None,Medium,Lagging,Low,0.6896551,3,2.523649,3,33
176,74.65642,63,Female,None,High,Immediate,Medium,0.8319467,2.5,2.036667,2,29
109,75.0982,26,Male,None,High,Lagging,Low,0.6968641,3,2.556667,2.5,30
143,75.83367,40,Male,WheelChair,Low,Lagging,Low,0.8385744,2.75,2.483553,2,33
73,76.51026,82,Female,None,Medium,Lagging,Low,0.9487666,3,2.62987,2.5,32
293,77.49595,44,Female,None,Medium,Lagging,Low,0.7806401,3,2.304487,2.5,33
49,77.49595,82,Female,None,Medium,Lagging,Low,0.9487666,3,2.676282,2.5,32
76,78.52126,51,Male,None,Low,Lagging,Medium,0.7905138,2.75,2.446203,2.25,30
157,78.95396,72,Male,None,High,Lagging,Low,0.8849558,3,2.43038,2.5,33
40,79.86182,87,Female,None,High,Lagging,Low,1,2.75,2.53125,1.75,32
141,80.05614,90,Male,None,Low,Immediate,Low,1.111111,2.75,2.03125,2,30
3,80.50194,35,Female,None,High,Lagging,Low,0.723589,3,2.570988,2.5,30
272,80.50194,61,Female,None,Low,Lagging,Low,0.8223684,2.75,2.638889,2.25,33
280,82.4381,25,Female,None,Low,Lagging,Low,0.7017544,3,2.864458,2.75,32
32,82.4381,35,Male,None,High,Lagging,Low,0.7407407,2.75,2.370482,2.25,32
314,82.4381,26,Female,None,High,Lagging,Low,0.7042254,3,2.762048,2.25,30
305,82.4381,41,Female,None,High,Lagging,Low,0.761035,2.5,2.418675,2.5,30
149,82.4381,90,Male,None,Medium,Immediate,Low,1.111111,2.75,2.033133,2.5,33
63,82.4381,39,Female,None,High,Lagging,Low,0.7407407,3,2.38253,2.5,31
58,83.52357,38,Female,None,High,Immediate,Low,0.7204611,2.75,2.395833,2,32
185,84.06077,87,Female,None,Medium,Lagging,Medium,1,2.75,2.047619,1.75,30
11,84.52178,65,Male,None,Medium,Immediate,Low,0.8333333,3,2.758824,2.5,32
287,84.52178,47,Female,None,Medium,Lagging,Low,0.78125,2.75,2.241176,2.5,31
268,85.168,67,Male,None,High,Lagging,Low,0.8474576,2.5,2.276471,1.75,33
265,85.35167,22,Male,WheelChair,Low,Lagging,High,0.7558579,2,1.813954,1.5,31
298,85.89881,78,Male,None,Medium,Lagging,Low,0.9345794,2.5,2.215116,1.75,32
