Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment
9.616925,25,Female,None,Medium,Immediate
9.773707,52,Male,None,High,Immediate
10.28521,35,Female,None,High,Immediate
11.77139,42,Male,None,Low,Immediate
12.65952,61,Male,None,High,Immediate
12.65952,21,Female,None,Medium,Immediate
13.66971,80,Female,None,Medium,Immediate
16.43267,73,Female,None,High,Immediate
16.43267,25,Female,None,Medium,Immediate
16.5695,37,Male,None,High,Immediate
17.09128,45,Male,None,Medium,Immediate
17.22298,36,Male,None,High,Immediate
17.71976,24,Male,None,High,Immediate
18.2634,62,Female,None,Medium,Immediate
18.73256,91,Male,None,High,Immediate
18.91411,25,Male,None,High,Immediate
19.59594,40,Female,None,Medium,Immediate
20.05087,36,Male,None,Medium,Immediate
20.93103,77,Male,None,Medium,Immediate
21.23013,58,Female,None,High,Immediate
21.43953,25,Male,None,Medium,Immediate
21.92562,58,Male,None,Medium,Immediate
21.92562,57,Male,None,High,Immediate
22.25091,74,Female,None,Low,Immediate
22.70989,30,Male,None,High,Immediate
23.06987,49,Female,None,Low,Immediate
23.06987,73,Male,None,High,Immediate
23.73325,47,Female,None,Low,Immediate
24.24298,34,Female,None,High,Immediate
24.89321,75,Male,None,Medium,Immediate
25.56006,25,Female,None,Low,Immediate
25.74887,97,Male,None,Medium,Immediate
26.09997,64,Female,None,High,Lagging
26.37302,25,Female,None,Low,Immediate
26.59015,59,Male,None,Medium,Lagging
27.09085,65,Female,None,High,Immediate
27.09085,46,Male,None,High,Immediate
27.41364,52,Female,None,Low,Lagging
27.41364,64,Male,None,High,Immediate
27.5515,28,Female,None,Medium,Immediate
28.08396,94,Male,None,Medium,Immediate
28.8763,26,Female,None,High,Immediate
29.08503,82,Male,None,High,Immediate
30.5647,40,Male,None,Medium,Immediate
30.88953,87,Female,None,Low,Immediate
31.70587,81,Female,None,High,Immediate
32.05461,73,Female,None,Medium,Immediate
32.25528,24,Female,None,Low,Immediate
33.06258,53,Male,None,Medium,Lagging
33.06258,51,Female,None,Low,Immediate
33.06258,57,Male,None,Medium,Immediate
33.76265,89,Female,None,Medium,Immediate
33.76265,40,Female,None,Low,Immediate
33.76265,64,Female,None,Medium,Immediate
33.89939,47,Male,None,Low,Immediate
34.07458,43,Female,None,High,Lagging
34.19973,31,Female,None,Low,Immediate
34.42893,49,Male,None,Medium,Immediate
34.71523,68,Female,WheelChair,High,Lagging
34.93248,20,Male,WakingStick,Low,Immediate
35.59734,26,Female,None,High,Immediate
36.5799,37,Male,None,Low,Immediate
36.5799,54,Female,None,High,Immediate
36.70916,94,Female,None,High,Immediate
36.92906,22,Female,None,High,Lagging
37.06472,84,Female,None,High,Immediate
37.39569,71,Female,None,Medium,Lagging
37.58928,43,Male,None,Medium,Immediate
38.20685,20,Male,None,High,Immediate
38.43684,62,Male,None,Low,Lagging
38.91401,79,Female,None,High,Immediate
39.39828,88,Female,None,Low,Lagging
39.39828,95,Female,None,Low,Immediate
39.58187,60,Female,None,High,Lagging
39.58187,83,Female,None,Low,Lagging
40.05245,95,Male,None,Low,Immediate
40.25213,91,Male,None,Low,Immediate
40.25213,69,Male,None,High,Immediate
40.38269,72,Female,None,High,Immediate
41.04886,67,Female,None,Medium,Lagging
41.26469,65,Female,None,Medium,Immediate
41.39599,73,Male,None,Medium,Lagging
41.91559,65,Female,None,High,Immediate
42.04145,26,Male,None,Medium,Lagging
43.21581,42,Female,None,Low,Immediate
43.21581,65,Female,None,Low,Immediate
43.56842,45,Male,None,High,Lagging
43.77924,33,Male,WheelChair,Low,Immediate
43.92232,59,Male,None,Medium,Lagging
44.4006,92,Female,None,Medium,Lagging
44.4006,75,Female,WheelChair,Medium,Immediate
44.71165,56,Male,None,Medium,Lagging
44.71165,43,Female,None,Medium,Immediate
44.91446,27,Female,None,High,Lagging
45.05181,76,Female,None,Medium,Immediate
45.38687,49,Female,None,Medium,Immediate
45.59155,21,Male,None,Medium,Immediate
45.71925,69,Male,None,High,Immediate
46.05023,88,Female,None,Low,Immediate
46.05023,89,Male,None,High,Lagging
46.58229,98,Female,None,Low,Immediate
46.58229,61,Female,WheelChair,Low,Lagging
47.09354,94,Female,None,Medium,Lagging
47.09354,52,Male,None,High,Immediate
47.22636,72,Female,None,Low,Lagging
47.42276,71,Female,None,Low,Immediate
47.42276,22,Female,None,Medium,Immediate
48.08151,83,Male,None,Medium,Immediate
48.08151,26,Female,None,High,Lagging
48.08151,61,Female,None,Medium,Immediate
48.38913,84,Male,None,Medium,Lagging
48.92206,78,Female,None,Medium,Immediate
48.92206,21,Male,None,Low,Immediate
48.92206,65,Female,None,High,Lagging
48.92206,27,Male,None,Low,Lagging
49.36857,64,Male,None,Medium,Immediate
49.57993,54,Male,None,Medium,Lagging
49.715,80,Male,None,Medium,Immediate
49.715,93,Male,None,Medium,Lagging
49.715,27,Male,None,Low,Immediate
50.06666,78,Female,None,Low,Immediate
50.60074,32,Male,None,Medium,Lagging
50.60074,90,Female,None,High,Lagging
51.03285,47,Female,None,Medium,Lagging
51.26437,73,Male,None,High,Lagging
51.59615,84,Female,None,High,Lagging
51.92662,68,Male,None,Low,Immediate
51.92662,87,Male,None,Low,Immediate
51.92662,87,Male,None,Low,Immediate
52.25919,85,Female,None,Medium,Immediate
