Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
0,71,Female,None,High,Lagging,0.8741258,0,0,97.48251,68
4.964963,25,Male,None,High,Immediate,0.6896551,0,0,93.79311,71
6.707848,69,Female,None,Medium,Immediate,0.8605852,0,0,97.2117,69
8.819668,92,Female,None,High,Immediate,1.123595,0,0,102.4719,69
12.20672,26,Female,None,High,Immediate,0.7042254,0,0,94.08451,68
13.7357,29,Female,None,High,Immediate,0.7168459,0,0,94.33691,65
14.68928,87,Female,WakingStick,Low,Immediate,1.176471,0,0,103.5294,71
15.71794,35,Male,None,Low,Immediate,0.7407407,0,0,94.81481,69
16.09171,73,Female,None,High,Immediate,0.8912656,0,0,97.82531,68
17.09553,43,Male,None,Medium,Lagging,0.7722008,0,0,95.44402,71
17.69219,49,Female,None,High,Lagging,0.7905138,0,0,95.81028,71
20.02878,23,Female,None,Low,Immediate,0.691085,0,0,93.8217,70
20.10686,39,Male,None,High,Immediate,0.7751938,0,0,95.50388,65
20.69129,80,Male,None,High,Immediate,0.952381,0,0,99.04762,67
22.11935,23,Female,None,Low,Immediate,0.691085,0,0,93.8217,70
22.16762,98,Male,WheelChair,High,Immediate,1.443002,0,0,108.86,69
22.25539,49,Male,None,High,Immediate,0.7936508,0,0,95.87302,68
22.902,49,Male,None,High,Immediate,0.7936508,0,0,95.87302,68
23.16785,38,Female,None,Medium,Immediate,0.7204611,0,0,94.40922,66
23.87345,85,Male,None,Medium,Immediate,1,0,0,100,69
24.00786,72,Female,None,High,Lagging,0.8833923,0,0,97.66785,71
24.00786,30,Female,None,Medium,Immediate,0.7117438,0,0,94.23488,74
24.27789,82,Female,None,High,Immediate,0.9487666,0,0,98.97533,66
24.96315,58,Female,None,High,Immediate,0.8156607,0,0,96.31322,69
25.22649,48,Female,None,Low,Immediate,0.7849293,0,0,95.69859,71
25.22649,25,Female,None,Medium,Immediate,0.7017544,0,0,94.03509,74
25.68309,89,Male,None,Medium,Immediate,1.041667,0,0,100.8333,67
25.68309,26,Male,None,High,Immediate,0.6968641,0,0,93.93729,71
25.90123,59,Male,None,Medium,Lagging,0.8264462,0,0,96.52892,64
26.62595,48,Female,None,Low,Immediate,0.7849293,0,0,95.69859,71
27.94683,24,Male,None,High,Lagging,0.6944444,0,0,93.88889,71
28.66377,65,Female,None,High,Immediate,0.8354219,0,0,96.70844,69
28.82657,88,Male,None,High,Immediate,1.030928,0,0,100.6186,66
29.03891,73,Male,None,Medium,Immediate,0.8928571,0,0,97.85714,70
29.71109,38,Male,None,Low,Lagging,0.7662836,0,0,95.32567,67
29.76706,24,Male,None,Low,Immediate,0.6944444,0,0,93.88889,65
30.79711,94,Male,None,Low,Immediate,1.162791,0,0,103.2558,67
31.00095,25,Female,None,Medium,Immediate,0.7017544,0,0,94.03509,69
31.26847,30,Female,None,High,Lagging,0.7117438,0,0,94.23488,67
31.62432,37,Male,None,Low,Lagging,0.7575758,0,0,95.15151,71
31.96215,65,Female,None,High,Immediate,0.8354219,0,0,96.70844,68
32.22208,44,Female,None,High,Lagging,0.7806401,0,0,95.6128,66
32.27617,69,Male,None,Low,Immediate,0.862069,0,0,97.24138,65
32.33787,45,Male,None,High,Immediate,0.7692308,0,0,95.38461,65
32.68353,66,Female,None,Medium,Immediate,0.8403361,0,0,96.80672,67
32.68353,92,Male,None,High,Immediate,1.136364,0,0,102.7273,64
32.80134,21,Female,None,High,Lagging,0.7012623,0,0,94.02525,63
32.88499,99,Female,None,Medium,Immediate,1.785714,0,0,115.7143,70
33.02026,28,Male,None,Medium,Immediate,0.7117438,0,0,94.23488,68
33.15814,44,Male,None,Low,Lagging,0.7782102,0,0,95.5642,69
33.30433,26,Male,None,Medium,Lagging,0.6968641,0,0,93.93729,68
33.30433,31,Male,None,High,Lagging,0.7220216,0,0,94.44043,64
33.67279,82,Male,None,High,Lagging,0.9708738,0,0,99.41748,67
33.87206,61,Female,None,High,Lagging,0.8223684,0,0,96.44737,68
33.92383,24,Female,None,Medium,Lagging,0.7062147,0,0,94.12429,70
34.20455,44,Male,None,Medium,Lagging,0.7782102,0,0,95.5642,70
34.20455,73,Male,None,Medium,Immediate,0.8928571,0,0,97.85714,71
34.32097,46,Female,None,Medium,Lagging,0.7794232,0,0,95.58846,69
34.57494,87,Male,None,Medium,Immediate,1.020408,0,0,100.4082,68
34.66621,65,Female,None,High,Immediate,0.8354219,0,0,96.70844,66
34.86209,54,Female,None,High,Lagging,0.8084074,0,0,96.16815,70
35.28405,89,Male,None,High,Lagging,1.041667,0,0,100.8333,62
35.92652,39,Female,None,Low,Immediate,0.7407407,0,0,94.81481,72
35.92652,86,Male,None,Medium,Lagging,1.010101,0,0,100.202,67
37.81675,20,Male,None,Low,Lagging,0.6666667,0,0,93.33334,73
37.90083,76,Male,None,High,Immediate,0.9174312,0,0,98.34863,68
38.17048,93,Female,None,High,Immediate,1.149425,0,0,102.9885,66
38.81355,86,Female,None,Medium,Lagging,0.9803922,0,0,99.60784,71
39.08983,59,Female,None,Low,Lagging,0.8223684,0,0,96.44737,71
39.15371,76,Male,None,Medium,Lagging,0.9174312,0,0,98.34863,72
39.68268,42,Female,None,Medium,Lagging,0.7639419,0,0,95.27884,70
39.68268,20,Male,None,High,Lagging,0.6666667,0,0,93.33334,65
39.68268,42,Male,None,High,Lagging,0.7662836,0,0,95.32567,67
40.07725,34,Female,None,High,Lagging,0.7215007,0,0,94.43002,66
40.13344,98,Male,None,High,Lagging,1.298701,0,0,105.974,70
40.59404,42,Female,None,High,Lagging,0.7639419,0,0,95.27884,67
40.59404,65,Male,None,Medium,Lagging,0.8333333,0,0,96.66666,72
40.72654,33,Male,None,Low,Lagging,0.7380074,0,0,94.76015,67
40.72654,24,Female,None,Medium,Lagging,0.7062147,0,0,94.12429,70
40.99131,23,Male,None,Low,Immediate,0.6872852,0,0,93.7457,65
41.60214,78,Male,None,Medium,Lagging,0.9345794,0,0,98.69159,67
41.70175,96,Female,None,Medium,Lagging,1.388889,0,0,107.7778,67
41.90107,92,Female,None,High,Lagging,1.123595,0,0,102.4719,70
42.23721,32,Male,None,Low,Lagging,0.729927,0,0,94.59854,69
42.62785,23,Female,None,High,Lagging,0.691085,0,0,93.8217,67
43.02851,46,Male,None,Medium,Lagging,0.7751938,0,0,95.50388,67
43.07903,23,Female,None,Medium,Immediate,0.691085,0,0,93.8217,68
43.16305,41,Female,None,High,Lagging,0.761035,0,0,95.2207,65
43.22837,30,Female,None,High,Immediate,0.7117438,0,0,94.23488,71
43.2989,92,Female,None,High,Lagging,1.123595,0,0,102.4719,72
43.2989,39,Female,None,High,Lagging,0.7407407,0,0,94.81481,66
43.58323,64,Female,None,Medium,Lagging,0.8368201,0,0,96.7364,71
44.04895,44,Female,WheelChair,Medium,Lagging,0.8673779,0,0,97.34756,70
44.04895,39,Female,None,High,Lagging,0.7407407,0,0,94.81481,67
44.18128,59,Female,None,Medium,Immediate,0.8223684,0,0,96.44737,68
44.52396,60,Female,None,High,Lagging,0.8130081,0,0,96.26016,70
44.59253,49,Male,None,Low,Immediate,0.7936508,0,0,95.87302,64
44.73186,77,Female,None,High,Immediate,0.9225093,0,0,98.45019,65
44.99893,59,Female,None,Medium,Immediate,0.8223684,0,0,96.44737,67
45.05582,73,Female,None,High,Lagging,0.8912656,0,0,97.82531,69
45.1329,29,Male,None,Medium,Lagging,0.7194245,0,0,94.38849,71
45.58505,32,Male,None,High,Lagging,0.729927,0,0,94.59854,69
45.73865,59,Female,None,High,Lagging,0.8223684,0,0,96.44737,67
45.86946,24,Female,None,Medium,Lagging,0.7062147,0,0,94.12429,64
45.93615,36,Female,None,Medium,Immediate,0.7194245,0,0,94.38849,69
46.00192,47,Male,None,High,Lagging,0.78125,0,0,95.625,70
46.26895,39,Female,None,Medium,Lagging,0.7407407,0,0,94.81481,67
46.33726,34,Female,None,Medium,Lagging,0.7215007,0,0,94.43002,70
46.58482,25,Female,None,Medium,Lagging,0.7017544,0,0,94.03509,69
46.72176,44,Female,None,Medium,Lagging,0.7806401,0,0,95.6128,70
47.03446,94,Female,None,Medium,Lagging,1.176471,0,0,103.5294,66
47.24905,76,Female,None,Low,Lagging,0.9149131,0,0,98.29826,71
47.54945,32,Male,None,High,Lagging,0.729927,0,0,94.59854,69
47.83459,88,Male,None,Low,Lagging,1.030928,0,0,100.6186,72
48.03414,61,Male,None,Low,Lagging,0.8196721,0,0,96.39344,68
48.09918,83,Female,None,Medium,Lagging,0.9541985,0,0,99.08397,72
48.23283,78,Male,None,Low,Lagging,0.9345794,0,0,98.69159,66
48.73432,27,Male,None,Low,Lagging,0.7042254,0,0,94.08451,64
49.06608,21,Male,None,Medium,Lagging,0.6734006,0,0,93.46801,67
49.13494,82,Male,None,Medium,Lagging,0.9708738,0,0,99.41748,65
49.59714,58,Male,None,High,Immediate,0.8196721,0,0,96.39344,69
49.86113,79,Female,None,Medium,Lagging,0.9328358,0,0,98.65672,67
50.05927,33,Female,None,Low,Lagging,0.7204611,0,0,94.40922,65
50.33018,85,Male,None,Low,Lagging,1,0,0,100,70
50.4836,44,Female,None,Medium,Lagging,0.7806401,0,0,95.6128,66
50.4836,98,Female,None,High,Lagging,1.587302,0,0,111.746,68
50.4836,51,Male,None,Medium,Lagging,0.7905138,0,0,95.81028,69
50.4836,61,Female,None,High,Lagging,0.8223684,0,0,96.44737,71
51.08139,42,Female,None,Low,Lagging,0.7639419,0,0,95.27884,64
51.28462,98,Male,None,High,Lagging,1.298701,0,0,105.974,70
51.51568,53,Male,None,Medium,Lagging,0.8032128,0,0,96.06425,67
51.51568,26,Female,None,Low,Lagging,0.7042254,0,0,94.08451,71
51.64838,43,Male,None,High,Immediate,0.7722008,0,0,95.44402,70
51.64838,80,Male,None,High,Lagging,0.952381,0,0,99.04762,71
51.78474,54,Male,None,Medium,Lagging,0.8097166,0,0,96.19433,67
52.11614,91,Female,None,High,Lagging,1.086957,0,0,101.7391,68
52.18107,28,Male,None,High,Lagging,0.7117438,0,0,94.23488,67
52.18107,22,Male,None,High,Lagging,0.6802721,0,0,93.60544,70
52.31852,96,Female,None,Medium,Lagging,1.388889,0,0,107.7778,67
52.6716,37,Female,None,Low,Immediate,0.7183908,0,0,94.36781,67
52.8063,32,Female,None,High,Immediate,0.7158197,0,0,94.31639,70
53.00474,24,Female,None,Medium,Lagging,0.7062147,0,0,94.12429,69
53.14158,83,Male,None,Medium,Lagging,0.9803922,0,0,99.60784,68
53.33544,20,Male,None,High,Lagging,0.6666667,0,0,93.33334,68
53.47,92,Female,None,Medium,Lagging,1.123595,0,0,102.4719,73
53.51756,67,Male,None,Low,Lagging,0.8474576,0,0,96.94915,68
53.60493,35,Female,None,High,Lagging,0.723589,0,0,94.47178,69
53.9363,75,Female,None,Low,Immediate,0.9082652,0,0,98.16531,70
53.9363,88,Male,None,High,Lagging,1.030928,0,0,100.6186,70
54.20348,62,Male,None,High,Lagging,0.8264462,0,0,96.52892,67
54.26755,45,Female,None,Low,Lagging,0.7722008,0,0,95.44402,67
54.79819,74,Male,None,Medium,Lagging,0.9009009,0,0,98.01802,70
54.8624,68,Female,None,Medium,Lagging,0.8547009,0,0,97.09402,64
54.92902,88,Female,None,Low,Lagging,1.01833,0,0,100.3666,64
55.06474,36,Female,None,Medium,Lagging,0.7194245,0,0,94.38849,63
55.13165,68,Female,None,High,Lagging,0.8547009,0,0,97.09402,65
55.26315,87,Female,None,High,Lagging,1,0,0,100,68
55.45695,22,Female,None,Low,Lagging,0.7042254,0,0,94.08451,71
55.45695,55,Male,None,Medium,Lagging,0.8,0,0,96,67
55.71976,42,Male,None,Low,Lagging,0.7662836,0,0,95.32567,71
55.78727,81,Female,None,Medium,Lagging,0.9433963,0,0,98.86793,67
56.10068,74,Female,WheelChair,Low,Lagging,1.0001,0,0,100.002,67
56.23333,69,Female,WheelChair,Medium,Lagging,0.9562058,0,0,99.12411,67
56.48454,66,Female,None,High,Lagging,0.8403361,0,0,96.80672,70
56.63885,84,Male,None,Medium,Lagging,0.990099,0,0,99.80198,71
56.90702,93,Female,None,Medium,Lagging,1.149425,0,0,102.9885,65
57.17174,45,Male,None,Medium,Lagging,0.7692308,0,0,95.38461,68
57.17174,97,Male,None,Medium,Lagging,1.282051,0,0,105.641,69
57.61544,29,Female,None,Medium,Lagging,0.7168459,0,0,94.33691,68
58.01705,29,Male,None,Medium,Lagging,0.7194245,0,0,94.38849,65
58.01705,56,Female,None,Medium,Lagging,0.8064516,0,0,96.12904,65
58.08249,56,Male,None,High,Lagging,0.8064516,0,0,96.12904,69
58.7286,40,Female,None,Medium,Lagging,0.7621951,0,0,95.2439,65
59.06321,99,Female,None,High,Immediate,1.785714,0,0,115.7143,69
59.06321,51,Male,None,High,Lagging,0.7905138,0,0,95.81028,64
59.06321,48,Female,None,Low,Lagging,0.7849293,0,0,95.69859,70
59.42556,88,Male,None,Low,Lagging,1.030928,0,0,100.6186,68
59.62697,55,Male,None,Low,Lagging,0.8,0,0,96,65
59.6926,62,Male,None,Medium,Immediate,0.8264462,0,0,96.52892,66
59.82987,67,Female,WheelChair,Low,Lagging,0.9416196,0,0,98.83239,72
59.96239,20,Male,None,Medium,Immediate,0.6666667,0,0,93.33334,65
60.22912,34,Female,None,Medium,Lagging,0.7215007,0,0,94.43002,65
60.39412,88,Male,None,Low,Lagging,1.030928,0,0,100.6186,66
60.45869,32,Male,None,High,Lagging,0.729927,0,0,94.59854,67
60.45869,97,Male,None,Medium,Lagging,1.282051,0,0,105.641,65
60.99207,32,Male,None,Low,Lagging,0.729927,0,0,94.59854,68
60.99207,49,Male,None,Medium,Lagging,0.7936508,0,0,95.87302,69
61.05697,59,Female,None,Low,Lagging,0.8223684,0,0,96.44737,70
61.55668,68,Male,None,Medium,Lagging,0.8547009,0,0,97.09402,70
61.7515,93,Male,None,Medium,Lagging,1.149425,0,0,102.9885,64
62.08977,43,Male,None,Low,Immediate,0.7722008,0,0,95.44402,68
62.28952,77,Female,None,Low,Lagging,0.9225093,0,0,98.45019,71
62.46471,65,Male,None,Low,Lagging,0.8333333,0,0,96.66666,66
63.19606,76,Male,None,High,Lagging,0.9174312,0,0,98.34863,70
63.41372,57,Male,None,Medium,Lagging,0.8130081,0,0,96.26016,69
63.74292,61,Male,WakingStick,Low,Lagging,0.9643201,0,0,99.2864,67
63.81299,70,Male,None,High,Immediate,0.8695652,0,0,97.3913,70
63.94219,63,Female,None,High,Immediate,0.8319467,0,0,96.63893,68
64.21642,78,Male,None,Low,Lagging,0.9345794,0,0,98.69159,65
64.27669,71,Male,None,Medium,Lagging,0.877193,0,0,97.54386,70
64.64146,93,Female,WakingStick,Medium,Lagging,1.352265,0,0,107.0453,67
64.84844,45,Female,None,Medium,Lagging,0.7722008,0,0,95.44402,73
64.97681,72,Male,None,High,Lagging,0.8849558,0,0,97.69911,67
65.11309,78,Male,None,Medium,Immediate,0.9345794,0,0,98.69159,72
66.06008,93,Male,None,High,Lagging,1.149425,0,0,102.9885,65
66.13095,84,Female,None,Medium,Lagging,0.9587728,0,0,99.17545,66
66.32643,64,Male,None,Low,Lagging,0.8403361,0,0,96.80672,63
66.4023,26,Female,None,Medium,Lagging,0.7042254,0,0,94.08451,68
66.53518,91,Male,None,High,Lagging,1.123595,0,0,102.4719,69
66.66754,21,Female,None,Medium,Lagging,0.7012623,0,0,94.02525,67
67.13712,70,Male,WheelChair,High,Immediate,0.9661836,0,0,99.32367,66
67.46723,37,Male,None,Low,Lagging,0.7575758,0,0,95.15151,68
67.60319,81,Male,None,High,Lagging,0.9615385,0,0,99.23077,63
67.73827,62,Female,None,Low,Immediate,0.8237233,0,0,96.47446,70
68.46471,53,Female,None,Low,Immediate,0.8038585,0,0,96.07717,66
68.73299,84,Female,None,Low,Lagging,0.9587728,0,0,99.17545,70
68.79755,36,Female,None,Low,Lagging,0.7194245,0,0,94.38849,70
69.41064,64,Male,None,Medium,Lagging,0.8403361,0,0,96.80672,70
69.74393,92,Male,None,Low,Lagging,1.136364,0,0,102.7273,71
70.01111,75,Female,None,Medium,Lagging,0.9082652,0,0,98.16531,71
70.07124,49,Male,None,High,Lagging,0.7936508,0,0,95.87302,68
70.34384,22,Female,None,Low,Lagging,0.7042254,0,0,94.08451,67
70.74171,58,Female,None,Low,Lagging,0.8156607,0,0,96.31322,73
70.81033,87,Female,None,Low,Lagging,1,0,0,100,73
71.34561,93,Male,None,High,Lagging,1.149425,0,0,102.9885,70
71.61406,86,Male,None,Medium,Immediate,1.010101,0,0,100.202,71
72.40816,89,Male,None,Low,Lagging,1.041667,0,0,100.8333,68
73.95155,70,Female,None,High,Lagging,0.8643043,0,0,97.28609,63
73.95155,91,Female,None,Medium,Immediate,1.086957,0,0,101.7391,72
73.95155,83,Female,None,Low,Lagging,0.9541985,0,0,99.08397,63
73.95155,80,Male,None,High,Immediate,0.952381,0,0,99.04762,68
73.95155,28,Female,None,Medium,Lagging,0.7092199,0,0,94.18439,68
