Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
11.57128,30,Female,None,High,Immediate,Low,0.7117438,1,0.8333334,0.8,66
12.91892,25,Female,None,Medium,Immediate,Low,0.7017544,1,0.8307692,0.8,69
13.41557,39,Female,None,High,Immediate,Low,0.7407407,1,0.8,0.8,69
15.49851,48,Female,None,Medium,Immediate,Low,0.7849293,1,0.875,1,71
15.92772,60,Male,None,High,Immediate,Low,0.8130081,1,0.875,1,74
16.09104,35,Female,None,High,Immediate,Low,0.723589,1,0.8823529,1,71
16.09104,79,Female,None,Medium,Immediate,Medium,0.9328358,1.2,0.9294118,1,71
16.63858,54,Male,None,Low,Immediate,Low,0.8097166,1,0.7647059,1,71
16.93609,63,Male,None,High,Immediate,Low,0.8333333,1,0.6470588,0.6,71
17.60255,50,Male,None,Low,Immediate,Low,0.7843137,1,0.8444445,1,67
18.06623,34,Male,None,High,Immediate,Low,0.7462686,1,0.8210527,0.8,74
19.04055,74,Female,None,High,Immediate,Low,0.90009,1,0.72,0.8,67
20.44021,22,Male,None,High,Immediate,Low,0.6802721,1,0.7523809,0.6,67
21.564,33,Male,None,High,Lagging,High,0.7380074,1.6,1.272727,1.2,67
21.564,43,Female,None,Low,Immediate,Medium,0.7727975,1.2,1.018182,1,69
23.09595,51,Female,None,High,Lagging,Low,0.7936508,1.2,0.9333333,1,67
23.89176,79,Male,None,High,Lagging,Medium,0.9433963,1.2,1.016667,1,68
24.1394,75,Male,None,Medium,Immediate,Low,0.9090909,1,0.8,0.8,71
24.69956,80,Female,None,Medium,Immediate,Low,0.9372071,1,0.752,0.8,63
24.93429,28,Male,None,Medium,Lagging,Low,0.7117438,1.2,0.9999999,1,68
25.40562,24,Female,None,Low,Immediate,Low,0.7062147,1,0.8923077,1,65
26.04825,36,Female,None,Medium,Immediate,Medium,0.7194245,1.2,1.022222,1,73
26.36749,52,Male,None,High,Immediate,Medium,0.7968128,1.2,0.9333333,0.8,68
26.49464,86,Male,None,Medium,Immediate,Low,1.010101,1,0.7481482,0.6,69
26.79384,46,Female,None,Medium,Lagging,Low,0.7794232,1.2,0.8888889,0.8,69
26.97968,41,Male,None,High,Immediate,High,0.7604563,1.4,1.148148,1.2,65
27.6527,51,Male,None,Medium,Lagging,Low,0.7905138,1.4,1.171429,1,69
28.24907,49,Male,None,High,Immediate,Low,0.7936508,1,0.6689656,0.6,74
28.83021,56,Male,None,High,Immediate,Low,0.8064516,1,0.7862069,0.8,64
29.44173,87,Male,None,High,Lagging,Low,1.020408,1.2,0.8533333,0.8,68
29.50957,90,Male,None,Medium,Immediate,Low,1.111111,1.2,0.78,0.8,71
29.79571,28,Female,None,High,Lagging,Low,0.7092199,1,0.8533333,0.8,69
29.86799,85,Male,None,High,Lagging,Low,1,1.2,0.84,0.8,70
30.4589,43,Female,None,High,Lagging,Low,0.7727975,1.2,0.9290324,0.8,69
30.69883,77,Male,None,Low,Immediate,Low,0.9259259,1,0.7612903,0.8,70
31.17669,60,Female,None,Low,Immediate,Low,0.8130081,1,0.8625001,0.8,69
31.85928,56,Female,None,High,Immediate,Medium,0.8064516,1.2,1.0125,1,71
31.88997,30,Female,None,Medium,Lagging,Medium,0.7117438,1.2,0.9875,1,68
