Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment
10.6825,62,Female,None,High,Immediate
12.42266,86,Male,None,High,Immediate
19.55534,63,Female,None,High,Immediate
21.63097,57,Male,None,Medium,Immediate
21.63097,25,Male,None,Medium,Immediate
21.63097,45,Female,WheelChair,High,Immediate
22.74582,36,Female,None,Medium,Immediate
25.56989,91,Female,None,Medium,Immediate
28.41137,55,Male,None,High,Immediate
28.41137,21,Male,None,Medium,Immediate
28.96659,24,Female,None,Medium,Immediate
30.67187,91,Male,None,High,Immediate
31.80408,87,Female,WheelChair,High,Immediate
32.37188,56,Male,None,High,Immediate
33.52609,31,Female,None,High,Immediate
36.50078,66,Female,None,Medium,Immediate
38.26255,63,Female,None,High,Immediate
40.62374,72,Male,None,Low,Immediate
41.2324,47,Male,None,Low,Immediate
41.88139,83,Male,None,Medium,Immediate
43.86243,34,Female,None,Medium,Immediate
45.32311,46,Male,None,High,Immediate
45.32311,51,Female,None,High,Immediate
46.15097,67,Female,None,High,Immediate
46.15097,68,Male,None,Low,Immediate
47.08096,89,Female,None,Medium,Immediate
48.01344,45,Male,None,High,Immediate
48.92215,86,Male,None,Medium,Immediate
50.63249,72,Female,None,Medium,Immediate
50.63249,55,Male,None,Medium,Immediate
50.63249,44,Female,None,High,Immediate
51.4164,21,Female,None,High,Immediate
51.4164,81,Female,None,Low,Immediate
52.18228,62,Female,None,Low,Immediate
52.90888,38,Female,None,High,Immediate
53.64454,75,Female,None,Low,Immediate
54.36812,22,Male,None,High,Immediate
54.36812,81,Female,None,High,Immediate
54.36812,23,Male,None,High,Immediate
55.73947,21,Female,None,Medium,Immediate
55.73947,34,Male,None,High,Immediate
55.73947,86,Female,None,Low,Immediate
55.73947,46,Male,None,High,Immediate
56.43668,24,Male,None,Low,Immediate
56.43668,43,Female,None,Medium,Immediate
57.11724,71,Female,None,Medium,Immediate
57.11724,46,Female,None,Medium,Immediate
58.47764,34,Female,None,Medium,Immediate
58.47764,71,Male,None,Medium,Immediate
59.11395,58,Male,None,Medium,Immediate
59.11395,98,Male,None,High,Immediate
59.74434,78,Female,None,High,Immediate
60.40985,26,Female,None,High,Immediate
61.03286,50,Male,None,High,Immediate
61.03286,33,Female,None,Medium,Immediate
61.68702,29,Male,None,Low,Immediate
62.32681,78,Female,None,High,Immediate
63.01096,63,Male,None,Low,Immediate
63.01096,29,Female,None,Medium,Immediate
63.01096,39,Female,None,Medium,Immediate
63.69064,44,Female,None,Low,Immediate
64.34452,67,Male,None,High,Immediate
64.34452,85,Female,None,Low,Immediate
64.96783,26,Male,None,Medium,Immediate
64.96783,88,Female,None,Medium,Immediate
65.58379,27,Male,None,Medium,Immediate
66.19172,29,Male,None,Medium,Immediate
66.79225,30,Male,None,Low,Immediate
66.79225,86,Female,None,Low,Immediate
67.97506,46,Female,None,High,Immediate
68.51995,57,Female,None,Low,Immediate
70.8238,37,Male,None,High,Immediate
70.8238,44,Female,None,Low,Immediate
71.40414,94,Female,None,Medium,Immediate
71.40414,47,Male,None,High,Immediate
71.9325,47,Male,None,Medium,Immediate
71.9325,83,Male,None,Medium,Immediate
72.4798,26,Female,None,Medium,Immediate
