Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Initial Stress,Maximum Stress,Average Stress,Stress on Exit
0,99,Female,None,Medium,Immediate,1.785714,0,0,1.785714
12.73927,99,Female,None,Low,Immediate,1.785714,0,0,1.785714
20.00386,99,Female,WheelChair,Low,Immediate,1.984127,0,0,1.984127
20.99729,99,Male,None,High,Immediate,1.315789,0,0,1.315789
21.51226,99,Female,None,High,Immediate,1.785714,0,0,1.785714
21.51226,99,Male,WheelChair,High,Lagging,1.461988,0,0,1.461988
22.71463,99,Male,WakingStick,Low,Immediate,1.547988,0,0,1.547988
24.00338,99,Male,None,Low,Immediate,1.315789,0,0,1.315789
25.51368,99,Male,None,High,Immediate,1.315789,0,0,1.315789
26.99291,99,Male,None,Medium,Lagging,1.315789,0,0,1.315789
30.71564,99,Female,None,Low,Immediate,1.785714,0,0,1.785714
31.02103,99,Male,None,Low,Lagging,1.315789,0,0,1.315789
33.50286,99,Male,WheelChair,High,Immediate,1.461988,0,0,1.461988
33.50286,99,Female,None,High,Immediate,1.785714,0,0,1.785714
34.24443,99,Male,WheelChair,Low,Immediate,1.461988,0,0,1.461988
34.45297,99,Male,WheelChair,High,Immediate,1.461988,0,0,1.461988
34.76641,99,Female,WheelChair,High,Immediate,1.984127,0,0,1.984127
35.51322,99,Male,None,High,Immediate,1.315789,0,0,1.315789
38.5337,99,Male,None,High,Lagging,1.315789,0,0,1.315789
40.20739,99,Male,None,Medium,Immediate,1.315789,0,0,1.315789
42.03115,99,Male,WheelChair,Medium,Immediate,1.461988,0,0,1.461988
42.71008,99,Male,None,High,Lagging,1.315789,0,0,1.315789
43.21151,99,Female,None,High,Lagging,1.785714,0,0,1.785714
43.53553,99,Female,WheelChair,Low,Lagging,1.984127,0,0,1.984127
44.26567,99,Female,None,Low,Immediate,1.785714,0,0,1.785714
44.48207,99,Female,None,High,Lagging,1.785714,0,0,1.785714
44.77698,99,Male,WheelChair,Medium,Immediate,1.461988,0,0,1.461988
45.76236,99,Male,WheelChair,High,Lagging,1.461988,0,0,1.461988
45.95944,99,Male,None,Low,Lagging,1.315789,0,0,1.315789
46.78484,99,Female,WheelChair,High,Immediate,1.984127,0,0,1.984127
47.2592,99,Male,None,High,Immediate,1.315789,0,0,1.315789
47.99614,99,Male,None,Medium,Lagging,1.315789,0,0,1.315789
47.99614,99,Female,None,Medium,Immediate,1.785714,0,0,1.785714
48.45584,99,Female,None,Medium,Lagging,1.785714,0,0,1.785714
49.69493,99,Male,WakingStick,High,Lagging,1.547988,0,0,1.547988
49.69493,99,Male,None,Low,Immediate,1.315789,0,0,1.315789
50.01625,99,Male,None,Low,Immediate,1.315789,0,0,1.315789
50.01625,99,Male,WakingStick,High,Lagging,1.547988,0,0,1.547988
50.01625,99,Female,WakingStick,High,Lagging,2.10084,0,0,2.10084
51.00112,99,Male,None,High,Lagging,1.315789,0,0,1.315789
51.46346,99,Male,None,Low,Lagging,1.315789,0,0,1.315789
52.49231,99,Female,WheelChair,High,Immediate,1.984127,0,0,1.984127
52.49231,99,Male,None,Low,Lagging,1.315789,0,0,1.315789
52.77861,99,Male,None,Low,Immediate,1.315789,0,0,1.315789
53.76116,99,Female,WheelChair,High,Lagging,1.984127,0,0,1.984127
53.76116,99,Male,WheelChair,Medium,Lagging,1.461988,0,0,1.461988
54.28863,99,Male,None,Medium,Lagging,1.315789,0,0,1.315789
55.26364,99,Male,WheelChair,Low,Immediate,1.461988,0,0,1.461988
55.26364,99,Male,WakingStick,Low,Immediate,1.547988,0,0,1.547988
55.7846,99,Male,WheelChair,High,Immediate,1.461988,0,0,1.461988
56.26345,99,Male,None,Low,Immediate,1.315789,0,0,1.315789
56.46246,99,Male,None,High,Lagging,1.315789,0,0,1.315789
56.46246,99,Female,WakingStick,Medium,Immediate,2.10084,0,0,2.10084
